idea	match_score	best_app	best_app_installs	best_app_rating	best_app_category	runners
Ad Campaign Performance Reviews	0.67	Weekly Team Meeting	48	0.0	conversation-analysis	Pulse MkT (alpha test only); Dnd Notes; Weekly Team Meeting Analyzer
Advertising Campaign Review	0.33	Job Training Notes	52	0.0	education-and-learning	TranscribeAI; Dnd Notes; Pipeline Review Analyzer
Audience Feedback Sessions	1.0	Product Demo Analyzer	13	0.0	conversation-analysis	Current Investor Meeting Analyzer; TranscribeAI; My Job Interview Coach
B Roll Footage Planning	0.33	Elon Musk	79	0.0	other	Finance AI; Cosmetic Assistant; Current Investor Meeting Analyzer
Board Meetings	1.0	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	VC Board Meeting Analyzer; Meeting Minutes Assistant; TranscribeAI
Board Retreat Planning	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Finance AI; Cosmetic Assistant; Board Meeting Analyzer
Bride And Groom Consultation	0.33	K.V Financial Services – AI Financial Guide	13	0.0	financial	
Budget Planning And Financial Analysis	0.75	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	StockSense AI; Spark; Board Meeting Analyzer
Budget Planning Sessions	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Weekly Team Meeting; 1 to 1 Meeting; Personal Chat
Bug Tracking And Resolution	0.67	Weekly Team Meeting	48	0.0	conversation-analysis	Mentor AI; Social AI; StockSense AI
Business Model Evaluation	0.33	TranscribeAI	176	0.0	conversation-analysis	Mentor AI; Social AI; Logic AI
Campaign Brainstorming Meetings	0.67	TranscribeAI	176	0.0	conversation-analysis	Weekly Team Meeting; 1 to 1 Meeting; Meeting Notes
Case Strategy Development	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Goal Craft; Logic AI; What Would Frank Do? 
Ceremony And Reception Coordination	0.33	Weekly Team Meeting	48	0.0	conversation-analysis	1 to 1 Meeting; SetSync Pro; Health Butler
Classroom Lecture Enhancement	0.33	My Job Interview Coach	57	0.0	productivity-and-organization	Pedagogical DocuMate; Class Notes Summarizer; EchoVision
Client Briefing Sessions	0.67	TranscribeAI	176	0.0	conversation-analysis	Current Investor Meeting Analyzer; Weekly Team Meeting; 1 to 1 Meeting
Client Consultation And Case Documentation	0.75	HakiScribe	3	0.0	other	Ticket Notes
Client Consultation And Financial Planning	0.75	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	K.V Financial Services – AI Financial Guide; Finance AI; Weekly Team Meeting
Client Consultation And Needs Assessment	0.25	TranscribeAI	176	0.0	conversation-analysis	
Client Consultation And Property Requirements	0.25	TranscribeAI	176	0.0	conversation-analysis	
Client Consultation And Requirements Gathering	0.5	Requirements Gathering Analyzer	71	0.0	conversation-analysis	TranscribeAI
Client Consultation Sessions	0.67	TranscribeAI	176	0.0	conversation-analysis	Current Investor Meeting Analyzer; Weekly Team Meeting; 1 to 1 Meeting
Client Counseling And Support	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Couples Therapy; Therapy Session Insight; Ticket Notes
Client Feedback Analysis	1.0	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	1 to 1 Meeting; Board Meeting Analyzer; TranscribeAI
Client Feedback Reviews	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Weekly Team Meeting; 1 to 1 Meeting; Therapy Session Insight
Client Follow Up And Relationship Management	0.75	1 to 1 Meeting	76	0.0	conversation-analysis	TranscribeAI; Quick Sync; n8n Task Runner
Client Goal Setting And Progress Tracking	0.6	Weekly Team Meeting	48	0.0	conversation-analysis	Goal Craft; Current Investor Meeting Analyzer; Couples Therapy
Client Intake And Consultation	0.33	TranscribeAI	176	0.0	conversation-analysis	K.V Financial Services – AI Financial Guide; Current Investor Meeting Analyzer; Car Sales Assistant
Client Interaction And Feedback	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	1 to 1 Meeting; Proactive; Be a Better Friend
Client Issue Escalation Documentation	0.5	HakiScribe	3	0.0	other	Ticket Notes
Client Needs Assessment	0.33	TranscribeAI	176	0.0	conversation-analysis	Parent Whisperer; Current Investor Meeting Analyzer; Account Management Meeting Analyzer
Client Needs Assessment Sessions	0.5	TranscribeAI	176	0.0	conversation-analysis	Current Investor Meeting Analyzer; Weekly Team Meeting; 1 to 1 Meeting
Client Pitch Rehearsals	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	TranscribeAI; VC Pitch Analyzer; Car Sales Assistant
Client Presentation Preparations	0.67	Quick Sync	193	0.0	conversation-analysis	Current Investor Meeting Analyzer; Car Sales Assistant; Weekly Team Meeting
Client Relationship Management	1.0	1 to 1 Meeting	76	0.0	conversation-analysis	TranscribeAI; Finance AI; Dnd Notes
Clinical Trial Coordination	0.33	Cosmetic Assistant	88	0.0	productivity-and-organization	Weekly Team Meeting; 1 to 1 Meeting; SetSync Pro
Clinical Trial Documentation	0.67	Cosmetic Assistant	88	0.0	productivity-and-organization	Dermatology Assistant; Ticket Notes; Doctor patient visit
Code Blue Event Documentation	0.25	CodiBot	33	0.0	utilities-and-tools	
Code Review And Quality Assurance	0.5	TranscribeAI	176	0.0	conversation-analysis	Image Generator; CodiBot
Codebase Management And Integration	0.67	Spark	56	0.0	financial	Finance AI; Omi Task Assistant; Dnd Notes
Collaboration With External Security Experts	0.5	1 to 1 Meeting	76	0.0	conversation-analysis	Prompt Engineer - MiniMax
Community Engagement And Public Meetings	0.5	BBC Marriage Agent – Smart Matchmaking AI for India	2	0.0	emotional-and-mental-support	Meeting Notes
Compliance And Regulatory Meetings	0.33	Meeting Notes	353	0.0	productivity-and-organization	TranscribeAI; Cosmetic Assistant; Smart Mentor
Compliance Committee Meetings	0.33	Meeting Notes	353	0.0	productivity-and-organization	TranscribeAI; Cosmetic Assistant; Smart Mentor
Compliance Documentation Workflow	1.0	Cosmetic Assistant	88	0.0	productivity-and-organization	Ticket Notes; Doctor patient visit; Soweto Ai
Compliance Training Sessions	0.67	Job Training Notes	52	0.0	education-and-learning	Weekly Team Meeting; 1 to 1 Meeting; Quick Sync
Conference And Seminar Attendance	0.33	Conference Notes App	6	0.0	productivity-and-organization	
Continuing Medical Education And Training	0.5	Job Training Notes	52	0.0	education-and-learning	Math Friend
Contract Review And Signing	0.33	Job Training Notes	52	0.0	education-and-learning	TranscribeAI; Pipeline Review Analyzer; Sprint Planning Analyzer
Coordination With Legal And Compliance Teams	0.25	Cosmetic Assistant	88	0.0	productivity-and-organization	
Court Preparation Meetings	0.67	HakiScribe	3	0.0	other	TranscribeAI; Smart Mentor; Lumina Mentor
Court Proceedings And Testimony Recording	0.25	Seis ES AI: MindWell Multiverse	11	0.0	health-and-wellness	
Creative Concept Development	0.33	Mentor AI	74	0.0	productivity-and-organization	Logic AI; Book Writing Support (trauma informed); Hollywood Mentor: Your Guide to Stardom
Creative Content Brainstorming	0.67	TranscribeAI	176	0.0	conversation-analysis	Podcaster Bob Barnett; Quick Sync; Creative Collaborative Assistant
Creative Team Workshops	0.67	BBC SmartBuddy – Your AI Business Assistant	5	0.0	productivity-and-organization	TranscribeAI; Book Writing Support (trauma informed); Lumina Mentor
Crisis Issue Tracking And Log Management	0.4	Dnd Notes	16	0.0	entertainment-and-fun	Spark; DayTrack Log; Where did I put
Crisis Management And Response Planning	0.5	Finance AI	289	0.0	financial	1 to 1 Meeting; Elon Musk
Crisis Management Meetings	0.67	Account Management Meeting Analyzer	55	0.0	conversation-analysis	1 to 1 Meeting; PMO Lens – Project Management Copilot; Ticket Notes
Crisis Response Strategy Planning	0.5	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Elon Musk
Crisis Simulation Drills	0.33	Couples Therapy	65	0.0	communication-improvement	My Job Interview Coach
Critical Care Team Briefings	0.75	Dermatology Assistant	103	0.0	productivity-and-organization	Lumina Mentor; RPG Translator: Speak Gamer, Think Human
Cross Departmental Collaboration	0.67	Weekly Team Meeting	48	0.0	conversation-analysis	Brain Bounty Club – Learn, Quiz & Win; Networking Conversation Analyzer; Reuniões com IA
Cross Departmental Leadership Meetings	0.75	Weekly Team Meeting	48	0.0	conversation-analysis	Current Investor Meeting Analyzer; Meeting Notes
Cross Examination Planning	0.67	Weekly Team Meeting	48	0.0	conversation-analysis	Finance AI; Cosmetic Assistant; Current Investor Meeting Analyzer
Cross Functional Team Meetings	1.0	Weekly Team Meeting	48	0.0	conversation-analysis	TranscribeAI; Lumina Mentor; Current Investor Meeting Analyzer
Curriculum Development Meetings	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	1 to 1 Meeting; TranscribeAI; Mentor AI
Curriculum Planning And Collaboration	0.67	1 to 1 Meeting	76	0.0	conversation-analysis	Finance AI; Cosmetic Assistant; TranscripTeach
Customer Case Escalation Tracking	0.5	Weekly Team Meeting	48	0.0	conversation-analysis	Where did I put
Customer Feedback Analysis	1.0	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Board Meeting Analyzer; User Interview Analyzer; Troubleshooting Session Analyzer
Customer Interaction And Support Documentation	0.5	Ticket Notes	124	0.0	utilities-and-tools	Current Investor Meeting Analyzer; Doctor patient visit; Dental Drug Interaction & Decision Support
Customer Support Calls	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Customer Discovery Analyzer; Weekly Team Meeting; MoodCheck Daily
Daily Task Management	0.67	Betty the Accounting Clerk	13	0.0	financial	Trello Task Linker; Service Manager Pro; n8n Task Runner
Data Collection And Analysis Sessions	0.75	My Job Interview Coach	57	0.0	productivity-and-organization	Data Collector Pro; Current Investor Meeting Analyzer; Troubleshooting Session Analyzer
Data Interpretation Meetings	0.67	TranscribeAI	176	0.0	conversation-analysis	Data Collector Pro; Meeting Notes; ImportX
Data Review Meetings	1.0	Data Collector Pro	7	0.0	conversation-analysis	Pipeline Review Analyzer; Sprint Planning Analyzer; Couples Therapy
Design And Architecture Planning	0.33	Elon Musk	79	0.0	other	Finance AI; Cosmetic Assistant; KV Master – AI Project Guide & Tech Solutions Expert
Design And Decor Planning	0.33	Elon Musk	79	0.0	other	Finance AI; Cosmetic Assistant; Current Investor Meeting Analyzer
Design Review Meetings	0.67	TranscribeAI	176	0.0	conversation-analysis	Pipeline Review Analyzer; Sprint Planning Analyzer; My Job Interview Coach
Developer Collaboration Sessions	0.67	1 to 1 Meeting	76	0.0	conversation-analysis	Creative Collaborative Assistant; TranscribeAI; Sanatan Wisdom
Developer Stand Up Meetings	0.67	Stand-Up Meeting Analyzer	42	0.0	conversation-analysis	TranscribeAI; Smart Mentor; Lumina Mentor
Development Sprint Planning	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Sprint Planning Analyzer; Weekly Team Meeting; 1 to 1 Meeting
Disaster Preparedness Drills	0.33	Couples Therapy	65	0.0	communication-improvement	My Job Interview Coach
Dissertation Defense Preparation	0.33	My Job Interview Coach	57	0.0	productivity-and-organization	EMDR On-the-Go; HakiScribe
Distribution And Marketing Planning	0.33	Elon Musk	79	0.0	other	Finance AI; Cosmetic Assistant; Pulse MkT (alpha test only)
Emergency Procedure Training	0.33	Job Training Notes	52	0.0	education-and-learning	Cosmetic Assistant; TranscripTeach; Weekly Team Meeting
Emergency Protocol Training	0.33	Job Training Notes	52	0.0	education-and-learning	TranscripTeach; hebrew summary; Totem Protocol Dynamic Summarizer
Emergency Response Coordination	0.33	Be a Better Friend	193	0.0	communication-improvement	Weekly Team Meeting; 1 to 1 Meeting; SetSync Pro
Employee Onboarding And Training	1.0	1 to 1 Meeting	76	0.0	conversation-analysis	TranscripTeach; Customer Onboarding Analyzer; Weekly Team Meeting
Enforcement And Infringement Analysis	0.33	waiter	28	0.0	conversation-analysis	Audio Journal – Document Your Voice; Coherent transcription; Apex Predator
Equipment And Procedure Reviews	0.33	Cosmetic Assistant	88	0.0	productivity-and-organization	Weekly Team Meeting Analyzer; Weekly Team Meeting; SetSync Pro
Equipment Installation And Setup	0.33	Spark	56	0.0	financial	SetSync Pro; ArchEquip Checker; Image Generator
Estate Planning And Wealth Transfer	0.5	Finance AI	289	0.0	financial	Elon Musk
Event Timeline And Agenda Management	0.25	Ticket Notes	124	0.0	utilities-and-tools	
Evidence Collection And Categorization	0.33	Audio Journal – Document Your Voice	102	0.0	conversation-analysis	BBC Marriage Agent – Smart Matchmaking AI for India; Osteopath; bible journal
Evidence Review And Analysis	0.67	TranscribeAI	176	0.0	conversation-analysis	Pipeline Review Analyzer; Sprint Planning Analyzer; Couples Therapy
Exam Preparation Workshops	0.33	Brain Bounty Club – Learn, Quiz & Win	18	0.0	education-and-learning	BBC SmartBuddy – Your AI Business Assistant; My Job Interview Coach; EMDR On-the-Go
Executive Training Programs	0.33	Job Training Notes	52	0.0	education-and-learning	TranscripTeach; Brain Bounty Club – Learn, Quiz & Win; My Job Interview Coach
Experiment Planning And Execution	0.33	Elon Musk	79	0.0	other	Finance AI; Cosmetic Assistant; Current Investor Meeting Analyzer
Faculty Collaboration Workshops	0.33	Brotea community	14	0.0	education-and-learning	Brain Bounty Club – Learn, Quiz & Win; Networking Conversation Analyzer; BBC SmartBuddy – Your AI Business Assistant
Faculty Meetings And Curriculum Planning	0.5	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Sprint Planning Analyzer; Weekly Team Meeting; 1 to 1 Meeting
Family Consultations	0.5	BBC Marriage Agent – Smart Matchmaking AI for India	2	0.0	emotional-and-mental-support	IFS Parts Work Companion; Personal Chat; chat tool
Feature Prioritization Meetings	0.33	Meeting Notes	353	0.0	productivity-and-organization	TranscribeAI; Smart Mentor; Spark
Feedback Collection And Analysis	0.67	Board Meeting Analyzer	180	0.0	conversation-analysis	Current Investor Meeting Analyzer; User Interview Analyzer; One-on-One Meeting Analyzer
Field Research Coordination	0.67	TranscribeAI	176	0.0	conversation-analysis	Spark; KV Master – AI Project Guide & Tech Solutions Expert; Weekly Team Meeting
Field Service Reports And Feedback	0.5	Service Manager Pro	2	0.0	productivity-and-organization	French Companion
Field Service Strategy Planning	0.5	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Elon Musk
Financial Education And Workshops	0.33	Math Friend	160	0.0	education-and-learning	French Companion; Job Training Notes; TranscribeAI
Financial Performance Analysis	0.67	StockSense AI	40	0.0	conversation-analysis	Pulse MkT (alpha test only); Spark; Board Meeting Analyzer
Financial Planning And Budgeting	1.0	Finance AI	289	0.0	financial	Current Investor Meeting Analyzer; Transactions / Budget Snap; Travel Guide
Financial Reporting Preparation	0.33	Finance AI	289	0.0	financial	StockSense AI; Spark; FinMentor AI
Footage Review And Editing	0.33	Job Training Notes	52	0.0	education-and-learning	TranscribeAI; Pipeline Review Analyzer; Sprint Planning Analyzer
Group Study Sessions	1.0	TranscribeAI	176	0.0	conversation-analysis	1 to 1 Meeting; Creative Collaborative Assistant; Job Training Notes
Guest Interaction And Service Personalization	0.25	Omira	404	0.0	conversation-analysis	
Guest List Management	0.33	I Need To Remember To	226	0.0	productivity-and-organization	Where did I put; Agreements, Commitments & Conclusions reached. ; Ticket Notes
Implementation Review Meetings	0.67	TranscribeAI	176	0.0	conversation-analysis	Pipeline Review Analyzer; Sprint Planning Analyzer; Weekly Team Meeting
Incident Documentation And Evidence Collection	0.5	Pedagogical DocuMate	3	0.0	education-and-learning	Dermatology Assistant; Ticket Notes
Incident Documentation And Reporting	0.33	Ticket Notes	124	0.0	utilities-and-tools	Cosmetic Assistant; Doctor patient visit; Pedagogical DocuMate
Incident Investigation Documentation	0.33	Ticket Notes	124	0.0	utilities-and-tools	Cosmetic Assistant; Doctor patient visit; Pedagogical DocuMate
Incident Post Mortem Reviews	0.25	Cosmetic Assistant	88	0.0	productivity-and-organization	
Incident Response Coordination	0.33	Be a Better Friend	193	0.0	communication-improvement	Weekly Team Meeting; 1 to 1 Meeting; SetSync Pro
Incident Response Planning	0.33	Elon Musk	79	0.0	other	Be a Better Friend; Finance AI; Cosmetic Assistant
Innovation And Ideation Workshops	0.67	KV Master – AI Project Guide & Tech Solutions Expert	19	0.0	education-and-learning	Brotea community; BBC SmartBuddy – Your AI Business Assistant; Soweto Ai
Interdepartmental Coordination	0.5	Weekly Team Meeting	48	0.0	conversation-analysis	1 to 1 Meeting; SetSync Pro; Health Butler
Interdisciplinary Research Coordination	0.33	TranscribeAI	176	0.0	conversation-analysis	KV Master – AI Project Guide & Tech Solutions Expert; Weekly Team Meeting; 1 to 1 Meeting
Internal Audit Planning	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Weekly Team Meeting; Finance AI; Cosmetic Assistant
Internal Team Briefings	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	BBC SmartBuddy – Your AI Business Assistant; Weekly Team Meeting; TranscribeAI
Interview Recording And Analysis	0.67	User Interview Analyzer	28	0.0	conversation-analysis	Hiring Interview Analyzer; Advanced Hiring Interview Analyzer; My Job Interview Coach
Interview Recording And Transcription	0.33	Audio Journal – Document Your Voice	102	0.0	conversation-analysis	Coherent transcription; TranscribeAI; Smart Mentor
Invention Disclosure Meetings	0.33	Meeting Notes	353	0.0	productivity-and-organization	TranscribeAI; Smart Mentor; Lumina Mentor
Inventory And Equipment Management	0.33	Ticket Notes	124	0.0	utilities-and-tools	Finance AI; Dnd Notes; Spark
Investigative Research And Note Taking	0.5	Book Writing Support (trauma informed)	28	0.0	productivity-and-organization	Doctor patient visit; chameleon; TranscribeAI
Investment Performance Reviews	0.67	Weekly Team Meeting	48	0.0	conversation-analysis	StockSense AI; Pulse MkT (alpha test only); Prospective LP Meeting Analyzer
Investment Strategy Sessions	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Prospective LP Meeting Analyzer; TranscribeAI; StockSense AI
Ip Due Diligence Reviews	0.33	Weekly Team Meeting Analyzer	66	0.0	conversation-analysis	Weekly Team Meeting; Board meeting transcriber; TLDR
Ip Litigation Strategy Sessions	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	TranscribeAI; What Would Frank Do? ; Sanatan Wisdom
Ip Portfolio Management	0.5	Ticket Notes	124	0.0	utilities-and-tools	Finance AI; Dnd Notes; Spark
Ip Portfolio Management Meetings	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Account Management Meeting Analyzer; Prospective LP Meeting Analyzer; Portfolio Company Catch-up Analyzer
Knowledge Base Development	0.67	Brain	761	0.0	productivity-and-organization	tell me this; Logic AI; awesome sky
Kpi Review Meetings	0.67	TranscribeAI	176	0.0	conversation-analysis	Pipeline Review Analyzer; Sprint Planning Analyzer; Weekly Team Meeting
Lab Experiment Planning	0.33	Elon Musk	79	0.0	other	Finance AI; Cosmetic Assistant; Current Investor Meeting Analyzer
Laboratory Experiment Documentation	0.33	Ticket Notes	124	0.0	utilities-and-tools	Cosmetic Assistant; Doctor patient visit; Pedagogical DocuMate
Leadership Development Workshops	0.67	Mentor AI	74	0.0	productivity-and-organization	Current Investor Meeting Analyzer; Logic AI; BBC SmartBuddy – Your AI Business Assistant
Leadership Workshops	0.5	Mentor AI	74	0.0	productivity-and-organization	Current Investor Meeting Analyzer; BBC SmartBuddy – Your AI Business Assistant; My Job Interview Coach
Lease Renewal And Negotiation	0.33	Eira	150	0.0	productivity-and-organization	
Lecture Recording And Note Taking	0.5	Book Writing Support (trauma informed)	28	0.0	productivity-and-organization	Doctor patient visit; chameleon
Legal Compliance And Regulatory Meetings	0.5	HakiScribe	3	0.0	other	Meeting Notes
Legal Research And Document Review	0.75	TranscribeAI	176	0.0	conversation-analysis	Data Collector Pro; LeglAi India - For Law students, Advocates and Judges; tell me this
Licensing Agreement Negotiations	0.33	Lie Detector Pro	6	0.0	conversation-analysis	
Literature Review Sessions	0.67	Job Training Notes	52	0.0	education-and-learning	TranscribeAI; My Job Interview Coach; Weekly Team Meeting
Luxury Client Profiles	0.33	TranscribeAI	176	0.0	conversation-analysis	The Color Theory; Current Investor Meeting Analyzer; BBC Marriage Agent – Smart Matchmaking AI for India
Luxury Open House Planning	0.25	Elon Musk	79	0.0	other	
Maintenance And Repair Procedures	0.33	Cosmetic Assistant	88	0.0	productivity-and-organization	Recode; SKYAI Pilot Insight
Market Analysis And Trends	1.0	StockSense AI	40	0.0	conversation-analysis	Current Investor Meeting Analyzer; VC Pitch Analyzer; BBC SmartBuddy – Your AI Business Assistant
Market Analysis Sessions	1.0	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	StockSense AI; TranscribeAI; VC Pitch Analyzer
Market Research And Analysis	0.67	TranscribeAI	176	0.0	conversation-analysis	StockSense AI; Current Investor Meeting Analyzer; VC Pitch Analyzer
Market Trends Analysis	1.0	StockSense AI	40	0.0	conversation-analysis	Current Investor Meeting Analyzer; VC Pitch Analyzer; BBC SmartBuddy – Your AI Business Assistant
Marketing Campaign Planning	0.33	Elon Musk	79	0.0	other	Finance AI; Cosmetic Assistant; Pulse MkT (alpha test only)
Marketing Strategy And Vacancy Management	0.25	Ticket Notes	124	0.0	utilities-and-tools	
